순위,제목,가수,앨범명
66,내 손을 잡아,아이유,최고의 사랑 OST Part.4
67,Bad Habits,Ed Sheeran,=
68,아무래도 난,주시크 (Joosiq),아무래도 난
69,DAYDREAM,하이라이트 (Highlight),DAYDREAM
70,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
71,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
72,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
73,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
74,My Universe,Coldplay,My Universe
75,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
76,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져
77,고백,멜로망스,세 번째 '고백'
78,서랍,10CM,그 해 우리는 OST Part.1
79,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
80,문득,BE'O (비오),Bipolar
81,Off My Face,Justin Bieber,Justice (The Complete Edition)
82,헤픈 우연,헤이즈 (Heize),HAPPEN
83,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
84,북극성 (Never Goodbye),NCT DREAM,Glitch Mode - The 2nd Album
85,겨울잠,아이유,조각집
86,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
87,"아주, 천천히",비비 (BIBI),스물다섯 스물하나 OST Part 3
88,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE
89,언덕나무,이승윤,그 해 우리는 OST Part.7
90,Can't Control Myself,태연 (TAEYEON),Can't Control Myself
91,롤린 (Rollin'),브레이브걸스,Rollin'
92,That's Hilarious,Charlie Puth,That's Hilarious
93,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
94,Christmas Tree,V,그 해 우리는 OST Part.5
95,With,김태리,스물다섯 스물하나 OST Part 7
96,우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2
97,꽃 (With 김민석 of 멜로망스),박봄 (Park Bom),꽃
98,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
99,Arcade,NCT DREAM,Glitch Mode - The 2nd Album
100,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2
